748	2.75	1	75	24	6.3	105.3
1187	3.43	1	105	24	13.2	142.2
730	3.12	1	71.25	0	26.625	97.875
671	5.63	3	90	0	9.75	99.75
329	2.09	1	45	12	13.2	70.2
355	1.74	1	45	0	26.625	71.625
453	2.22	1	52.5	0	6	58.5
1288	5.21	1	116.25	36	26.325	178.575
134	1.48	1	33.75	0	6	39.75
980	3.48	1	90	0	6	96
84305	4.94	2	116.25	29	26.2	171.45
328	2.16	1	48.75	15	26.7	90.45
1848	4.83	1	142.5	17	26.425	185.925
305	2.04	1	45	0	9.75	54.75
234	1.61	0	37.5	0	26.625	64.125
1537	7.64	1	146.25	14	26.425	186.675
4059	30	1	390	0	55.125	445.125
530	2.43	1	56.25	0	9.75	66
319	1.67	1	41.25	0	26.625	67.875
773	3.41	2	75	9	13.5	97.5
375	1.45	1	45	24	33.825	102.825
586	2.57	1	63.75	0	26.625	90.375
357	1.43	1	112.5	0	2.25	114.75
1617	3.23	6	123.75	8	26.125	157.875
1163	5.62	1	108.75	0	13.5	122.25
1059	5.39	1	112.5	0	6	118.5
1271	4.84	1	116.25	0	26.625	142.875
915	4.46	1	93.75	26	33.7	153.45
742	4.89	3	90	11	30.625	131.625
1467	5.21	1	127.5	0	6	133.5
929	4.31	1	93.75	25	5.9	124.65
1149	9.35	1	153.75	0	26.625	180.375
1146	3.88	1	97.5	37	26.825	161.325
1023	2.41	2	90	19	6.125	115.125
255	2.48	1	45	0	6	51
668	3.11	2	75	0	9.75	84.75
11323	0.14	1	337.5	68	2.2	407.7
3722	19.17	1	322.5	89	34.3	445.8
962	12.7	1	180	37	6.2	223.2
